vin,make,model,year,color
VIN000001,BYD,Han,2010,SeaGreen
VIN000002,Honda,Odyssey,2024,Salmon
VIN000003,Rolls-Royce,Ghost,2005,Maroon
VIN000004,Maserati,Quattroporte,2010,Linen
VIN000005,BYD,Tang,2005,Linen
VIN000006,Mercedes-Benz,GLE,2004,YellowGreen
VIN000007,Nissan,Titan,2001,DarkSlateBlue
VIN000008,Acura,MDX,2021,Tan
VIN000009,BMW,Z4,2021,Thistle
VIN000010,Aston Martin,DB11,2003,Linen
VIN000011,Lincoln,Aviator,2022,WhiteSmoke
VIN000012,Audi,A4,2019,DarkRed
VIN000013,Fiat,Doblo,2002,Lavender
VIN000014,Citroën,C3,2015,PeachPuff
VIN000015,Geely,Coolray,2022,Aqua
VIN000016,Nissan,Rogue,2021,DarkSalmon
VIN000017,Maserati,Quattroporte,2018,Indigo
VIN000018,Citroën,C4,2012,Wheat
VIN000019,Bentley,Bentayga,2012,MediumSlateBlue
VIN000020,Lexus,ES,2014,SkyBlue
VIN000021,Mini,Countryman,2009,PaleVioletRed
VIN000022,BMW,3 Series,2003,Moccasin
VIN000023,Ferrari,488,2007,MediumSeaGreen
VIN000024,Porsche,911,2018,Cyan
VIN000025,Tata,Harrier,2013,NavajoWhite
VIN000026,Volvo,XC60,2018,LightCyan
VIN000027,Hyundai,Accent,2013,BlanchedAlmond
VIN000028,Mercedes-Benz,A-Class,2004,MidnightBlue
VIN000029,Mazda,CX-5,2021,SteelBlue
VIN000030,BYD,Dolphin,2022,HotPink
VIN000031,Aston Martin,DB11,2023,Beige
VIN000032,BMW,5 Series,2006,White
VIN000033,Mahindra,Thar,2012,WhiteSmoke
VIN000034,Chery,Tiggo 8,2023,Bisque
VIN000035,Ford,Escape,2011,LightYellow
VIN000036,Renault,Talisman,2019,DeepPink
VIN000037,Genesis,GV80,2016,DarkGoldenRod
VIN000038,Lamborghini,Huracan,2022,MistyRose
VIN000039,Great Wall,Wingle 7,2003,DarkOrange
VIN000040,Tesla,Model Y,2002,CornflowerBlue
VIN000041,Cadillac,CT5,2012,WhiteSmoke
VIN000042,Tesla,Model 3,2013,LightSalmon
VIN000043,Isuzu,D-Max,2008,CadetBlue
VIN000044,Genesis,GV80,2014,DeepPink
VIN000045,Suzuki,Swift,2015,Yellow
VIN000046,Mitsubishi,Eclipse Cross,2011,LimeGreen
VIN000047,Jaguar,F-PACE,2017,Navy
VIN000048,GMC,Terrain,2000,Olive
VIN000049,BMW,X3,2019,ForestGreen
VIN000050,BMW,Z4,2011,DodgerBlue
VIN000051,Suzuki,Vitara,2007,OrangeRed
VIN000052,Ferrari,Portofino,2014,PaleGreen
VIN000053,GMC,Canyon,2023,Fuchsia
VIN000054,Dodge,Ram 1500,2005,GoldenRod
VIN000055,Subaru,Outback,2003,Aquamarine
VIN000056,Seat,Ateca,2016,OldLace
VIN000057,Dacia,Logan,2012,SkyBlue
VIN000058,Jeep,Compass,2008,MintCream
VIN000059,Chrysler,300,2019,DarkKhaki
VIN000060,Mazda,MX-5 Miata,2020,Gray
VIN000061,Mahindra,Scorpio,2015,DodgerBlue
VIN000062,Cadillac,CT5,2002,SlateBlue
VIN000063,Chrysler,300,2000,DeepSkyBlue
VIN000064,Chrysler,Pacifica,2020,Crimson
VIN000065,Seat,Ateca,2017,GhostWhite
VIN000066,Acura,RDX,2013,OldLace
VIN000067,Saab,9-5,2017,DarkSalmon
VIN000068,Jeep,Cherokee,2010,ForestGreen
VIN000069,Citroën,C5 Aircross,2004,SpringGreen
VIN000070,Chrysler,300,2017,Lime
VIN000071,Buick,Enclave,2022,DarkCyan
VIN000072,Genesis,GV80,2016,White
VIN000073,Chery,Tiggo 8,2019,DarkGoldenRod
VIN000074,Buick,Enclave,2002,Azure
VIN000075,Audi,Q7,2003,LightGoldenRodYellow
VIN000076,Alfa Romeo,Giulia,2011,Silver
VIN000077,Saab,9-3,2002,Bisque
VIN000078,Kia,Sportage,2009,DarkBlue
VIN000079,Jeep,Renegade,2003,Linen
VIN000080,Chevrolet,Silverado,2007,Lavender
VIN000081,Lamborghini,Urus,2018,DarkBlue
VIN000082,Mazda,CX-5,2002,Crimson
VIN000083,Lincoln,Corsair,2010,Silver
VIN000084,Chrysler,Pacifica,2008,Purple
VIN000085,Lincoln,Aviator,2014,Azure
VIN000086,GMC,Terrain,2018,Silver
VIN000087,Porsche,Panamera,2007,SandyBrown
VIN000088,Ford,F-150,2012,Ivory
VIN000089,Chrysler,Pacifica,2004,Lavender
VIN000090,Subaru,Legacy,2010,LightSlateGray
VIN000091,Skoda,Octavia,2022,Coral
VIN000092,Ferrari,Portofino,2020,Gold
VIN000093,Honda,Accord,2022,Salmon
VIN000094,Lexus,IS,2019,DeepPink
VIN000095,Seat,Ateca,2009,DarkSalmon
VIN000096,Volkswagen,Passat,2019,DodgerBlue
VIN000097,Renault,Megane,2017,HotPink
VIN000098,Skoda,Octavia,2007,Lime
VIN000099,Ford,Explorer,2000,SlateGray
VIN000100,Porsche,Taycan,2010,Snow
VIN000101,Buick,Encore,2016,SpringGreen
VIN000102,Mazda,CX-5,2000,PeachPuff
VIN000103,Jaguar,F-Type,2015,OliveDrab
VIN000104,BMW,Z4,2008,PaleGreen
VIN000105,Mercedes-Benz,GLE,2000,Yellow
VIN000106,Lincoln,Navigator,2023,LightPink
VIN000107,Skoda,Superb,2015,MediumSeaGreen
VIN000108,Nissan,Titan,2005,Chocolate
VIN000109,Subaru,Legacy,2001,MediumPurple
VIN000110,Infiniti,QX80,2001,LightSkyBlue
VIN000111,Dodge,Challenger,2015,LightSeaGreen
VIN000112,Mercedes-Benz,E-Class,2002,Azure
VIN000113,Acura,ILX,2015,GhostWhite
VIN000114,Fiat,Panda,2016,DeepPink
VIN000115,Mitsubishi,Eclipse Cross,2013,HoneyDew
VIN000116,Saab,9-3,2004,LightGreen
VIN000117,Maserati,Levante,2018,Salmon
VIN000118,Tata,Harrier,2001,HotPink
VIN000119,Toyota,Camry,2012,LightSalmon
VIN000120,Great Wall,Wingle 7,2006,FloralWhite
VIN000121,Saab,9-3,2008,OrangeRed
VIN000122,Chevrolet,Equinox,2022,PeachPuff
VIN000123,Dodge,Ram 1500,2011,CornflowerBlue
VIN000124,Perodua,Myvi,2019,Orchid
VIN000125,Fiat,Tipo,2022,Teal
VIN000126,Volvo,XC40,2006,SpringGreen
VIN000127,Renault,Captur,2006,NavajoWhite
VIN000128,Mazda,MX-5 Miata,2016,Brown
VIN000129,Great Wall,Wingle 7,2000,DeepPink
VIN000130,Buick,Enclave,2004,Lime
VIN000131,Mazda,Mazda3,2003,YellowGreen
VIN000132,Mini,Clubman,2008,Black
VIN000133,Volkswagen,ID.4,2016,SaddleBrown
VIN000134,Kia,Sportage,2001,Red
VIN000135,Subaru,Outback,2002,Indigo
